NOM;COORDONNEES;LAT;LON;COUNTRY_CODE
Puerto De Barcelona;;41.333333;2.166667;ES
Puerto De Bilbao;;43.366667;-3.05;ES
Puerto De Carboneras;;36.966667;-1.9;ES
Puerto De Cartagena;;37.583333;-0.983333;ES
Puerto De Castellon;;39.966667;0.016667;ES
Puerto De Ceuta;;35.9;-5.316667;ES
Puerto De Cee;;42.95;-9.183333;ES
Puerto De Ciudadela;;40;3.833333;ES
Puerto De Denia;;38.85;0.116667;ES
Puerto De Escombreras;;37.566667;-0.966667;ES
Puerto De Gandia;;39;-0.15;ES
Puerto De Garrucha;;37.183333;-1.816667;ES
Puerto De Gijon;;43.566667;-5.683333;ES
Puerto De Granadilla;;28.066667;-16.5;ES
Puerto De Huelva;;37.233333;-6.966667;ES
Puerto De Ibiza;;38.9;1.45;ES
Puerto De Langosteira;;43.35;-8.516667;ES
Puerto De Las Palmas;;28.133333;-15.416667;ES
Puerto De La Coruna;;43.366667;-8.383333;ES
Puerto De La Estaca;;27.783333;-17.9;ES
Puerto De La Selva;;42.333333;3.2;ES
Puerto De Los Cristianos;;28.05;-16.716667;ES
Puerto De Mahon;;39.883333;4.283333;ES
Puerto De Morro Jable;;28.05;-14.366667;ES
Puerto De Motril;;36.716667;-3.516667;ES
Puerto De Malaga;;36.7;-4.416667;ES
Puerto De Palma;;39.55;2.633333;ES
Puerto De Pasajes;;43.316667;-1.916667;ES
Puerto De Portocolom;;39.416667;3.266667;ES
Puerto De Rota;;36.616667;-6.333333;ES
Puerto De Sagunto;;39.65;-0.216667;ES
Puerto De San Antonio;;38.983333;1.3;ES
Puerto De San Ciprian;;43.716667;-7.466667;ES
Puerto De San Sebastian;;28.083333;-17.1;ES
Puerto De Soller;;39.783333;2.7;ES
Puerto De Tarragona;;41.1;1.233333;ES
Puerto De Tazacorte;;28.65;-17.95;ES
Puerto De Valencia;;39.433333;-0.316667;ES
Puerto De Vallehermoso;;38.866667;-3.166667;ES
Puerto De Villajoyosa;;38.5;-0.216667;ES
Puerto De Vueltas;;28.083333;-17.333333;ES
Punta Umbria;;37.183333;-6.966667;ES
Palmaces;;41.05;-2.916667;ES
Pias;;42.116667;-7;ES
Quiebrajano;;37.633333;-3.716667;ES
Quentar;;37.216667;-3.433333;ES
Requejada;;42.916667;-4.5;ES
Retortillo;;37.85;-5.366667;ES
Rialb;;41.966667;1.233333;ES
Riano;;42.966667;-5;ES
Ribadavia;;42.266667;-8.15;ES
Ribadeo;;43.533333;-7.033333;ES
Ribadesella;;43.466667;-5.066667;ES
Ribarroja Norte;;41.3;0.35;ES
Ribarroja Sur;;41.266667;0.35;ES
Ricobayo Centro;;41.666667;-5.866667;ES
Ricobayo Norte;;41.75;-5.816667;ES
Ricobayo Sur;;41.6;-5.966667;ES
Riolobos;;41;-5.3;ES
Riosequillo;;40.983333;-3.65;ES
Riudecanyes;;41.133333;0.95;ES
Rivera De Gata;;40.15;-6.633333;ES
Rosarito;;40.1;-5.316667;ES
Ruecas;;39.283333;-5.483333;ES
Rules;;36.866667;-3.483333;ES
Ria Del Barquero;;43.733333;-7.683333;ES
Ria De Aldan;;42.3;-8.833333;ES
Ria De Ares;;43.416667;-8.2;ES
Ria De Arosa;;42.633333;-8.8;ES
Ria De Bayona;;42.133333;-8.833333;ES
Ria De Betanzos;;43.366667;-8.233333;ES
Ría De Camarinas;;43.116667;-9.183333;ES
Ria De Corcubion;;42.9;-9.2;ES
Ria De Corme Y Lage;;43.233333;-8.95;ES
Ria De El Ferrol;;43.466667;-8.216667;ES
Ria De Foz;;43.566667;-7.25;ES
Ria De La Coruna;;43.35;-8.366667;ES
Ria De Muros Y Noya;;42.75;-9;ES
Ria De Navia;;43.55;-6.733333;ES
Ria De Ortigueira;;43.7;-7.883333;ES
Ria De Pontevedra;;42.416667;-8.7;ES
Ria De Pravia;;43.55;-6.083333;ES
Ria De Santona;;43.416667;-3.466667;ES
Ria De Vigo;;42.266667;-8.7;ES
Ria De Vivero;;43.683333;-7.6;ES
Rio Almonte;;39.666667;-6.45;ES
Rio Tinto;;37.233333;-6.916667;ES
Rio Ulla;;42.716667;-8.7;ES
Rumblar;;38.183333;-3.8;ES
Salas;;41.916667;-7.933333;ES
Salime;;43.2;-6.866667;ES
Salobrena;;36.733333;-3.633333;ES
Santa Ana;;41.9;0.6;ES
Santa Cruz De La Palma;;28.683333;-17.766667;ES
Santa Cruz De Tenerife;;28.483333;-16.233333;ES
Santa Eugenia;;42.916667;-9.1;ES
Santa Pola;;38.183333;-0.566667;ES
Santa Teresa;;40.6;-5.566667;ES
Santillana;;40.733333;-3.833333;ES
Santolea;;40.75;-0.333333;ES
Santomera;;38.1;-1.1;ES
San Bartolome;;42.216667;-1.15;ES
San Carlos De La Rapita;;40.616667;0.666667;ES
San Clemente;;37.866667;-2.65;ES
San Esteban;;42.383333;-7.533333;ES
San Jose;;41.4;-5.25;ES
San Juan Este;;40.383333;-4.333333;ES
San Juan Oeste;;40.4;-4.4;ES
San Lorenzo;;41.866667;0.833333;ES
San Poncio;;41.966667;1.6;ES
San Rafael De Navallana;;37.966667;-4.616667;ES
San Salvador;;41.766667;0.183333;ES
San Sebastian;;42.15;-6.933333;ES
San Vicente De La Barquera;;43.383333;-4.4;ES
Sardina;;28.15;-15.7;ES
Sau;;41.983333;2.383333;ES
Saucelle;;41.083333;-6.766667;ES
Sequeiros;;42.45;-7.233333;ES
Serones;;40.683333;-4.45;ES
Sierra Boyera;;38.266667;-5.233333;ES
Sierra Brava;;39.233333;-5.633333;ES
Siles;;38.4;-2.6;ES
Sitges;;41.233333;1.816667;ES
Sobron;;42.75;-3.116667;ES
Suances;;43.433333;-4.033333;ES
Susqueda;;41.983333;2.516667;ES
Salor;;39.35;-6.3;ES
Sichar;;40.016667;-0.233333;ES
Taibilla;;38.183333;-2.25;ES
Tajo Centro;;39.766667;-6.216667;ES
Tajo Este;;39.816667;-6.066667;ES
Tajo Oeste;;39.75;-6.3;ES
Talarn-Tremp;;42.2;0.95;ES
Tenerife Norte - Ume;;28.483333;-16.333333;ES
Tenerife Sur - Ume;;28.05;-16.566667;ES
Tentudia;;38.1;-6.316667;ES
Terradets;;42.066667;0.883333;ES
Tietar;;39.85;-5.966667;ES
Torina;;43.083333;-4;ES
Torrejon - Ume;;40.483333;-3.45;ES
Torrejon Centro;;39.783333;-5.85;ES
Torrejon Este;;39.766667;-5.783333;ES
Torrejon Oeste;;39.8;-5.916667;ES
Torrevieja;;37.966667;-0.683333;ES
Torre Del Mar;;36.733333;-4.083333;ES
Torre Del Aguila;;37.05;-5.733333;ES
Torre De Abraham;;39.383333;-4.25;ES
Torrollon;;41.916667;-0.266667;ES
Tous;;39.15;-0.666667;ES
Tranco De Beas;;38.133333;-2.766667;ES
Tudela;;42.1;-1.6;ES
Ulldecona;;40.666667;0.233333;ES
Ullibarri;;42.933333;-2.583333;ES
Urkulu;;43.016667;-2.466667;ES
Urrunaga;;42.966667;-2.666667;ES
Utchesa;;41.5;0.533333;ES
Uzquiza;;42.3;-3.35;ES
Vadiello;;42.25;-0.283333;ES
Vadomojon;;37.633333;-4.216667;ES
Valdabra;;42.083333;-0.45;ES
Valdecaballeros;;39.283333;-5.166667;ES
Valdecanas Este;;39.816667;-5.416667;ES
Valdecanas Oeste;;39.816667;-5.55;ES
Valdeinfierno;;37.8;-1.966667;ES
Valdeobispo;;40.1;-6.25;ES
Valdevaqueros;;36.066667;-5.7;ES
Valmayor;;40.533333;-4.05;ES
Valparaiso;;41.983333;-6.3;ES
Valuengo;;38.3;-6.666667;ES
Velilla De Ebro;;41.366667;-0.45;ES
Velle;;42.366667;-7.85;ES
Vilasouto;;42.666667;-7.416667;ES
Villagonzalo;;40.866667;-5.5;ES
Villagudin;;43.1;-8.5;ES
Villalba De Los Barros;;38.566667;-6.5;ES
Villalcampo;;41.483333;-6.066667;ES
Villameca;;42.65;-6.066667;ES
Villanueva Y Geltru;;41.216667;1.75;ES
Villaralbo;;41.516667;-5.666667;ES
Villarreal;;38.75;-7.216667;ES
Villar Del Rey;;39.2;-6.866667;ES
Villaviciosa;;43.516667;-5.383333;ES
Yeguas;;38.066667;-4.25;ES
Yesa;;42.6;-1.133333;ES
Zafra;;38.416667;-6.466667;ES
Zahara;;36.833333;-5.366667;ES
Zaragoza - Ume;;41.666667;-1.05;ES
Zufre;;37.8;-6.3;ES
Zujar;;38.933333;-5.45;ES
Agueda;;40.516667;-6.483333;ES
