NOM;COORDONNEES;LAT;LON;COUNTRY_CODE
VALLABREGUES;N 43°52’/ E 004°38’;;;FR
VALRAS;N 43° 14’ / E 003° 17’;;;FR
VASSIVIERE;N 45°48’/ E 001°53’;;;FR
VICHY;N 46°08’/ E 003°25’;;;FR
VIELLES FORGES;N 49°52’/ E 004°37’;;;FR
VILLEFRANCHE DE PANAT;N 44°06’/ E 002°42’;;;FR
VILLEFRANCHE SUR SAONE;N 46°02’/ E 004°45’;;;FR
VILLENEUVE DE LA RAHO;N 42°38’/ E 002°54’;;;FR
VINCA;N 42°39’/ E 002°32’;;;FR
VOLGELSHEIM;N 48°04’/ E 007°34’;;;FR
VOUGLANS;N 46°26’/ E 005°42’;;;FR
WANTZENAU;N 48°38’/ E 007°50’;;;FR
ZI PORTUAIRE FOS;N 43°25’ / E 004°51’;;;FR
Acantilado De Los Gigantes;;28.25;-16.85;ES
Aguilar De Campo;;42.816667;-4.316667;ES
Ahigal;;40.216667;-6.2;ES
Alange;;38.75;-6.25;ES
Alarcon Norte;;39.7;-2.266667;ES
Alarcon Sur;;39.633333;-2.2;ES
Albages;;41.45;0.766667;ES
Albala;;38.8;-7.133333;ES
Albarellos;;42.4;-8.2;ES
Alcala Del Rio;;37.516667;-5.95;ES
Alcanar;;40.566667;0.566667;ES
Alcollarin;;39.25;-5.75;ES
Alcorlo;;41.016667;-3.033333;ES
Alcuescar;;39.233333;-6.233333;ES
Alcantara Centro;;39.766667;-6.65;ES
Alcantara Este;;39.716667;-6.466667;ES
Alcantara Norte;;39.866667;-6.8;ES
Alcantara Oeste;;39.766667;-6.8;ES
Aldeadavila;;41.216667;-6.683333;ES
Aldea Del Cano;;39.266667;-6.3;ES
Aldover;;40.866667;0.5;ES
Alfonso Xiii;;38.216667;-1.6;ES
Algeciras;;37.9;-1.4;ES
Alloz;;42.716667;-1.95;ES
Almendra;;41.25;-6.283333;ES
Almudevar;;42.033333;-0.516667;ES
Altea;;38.6;-0.033333;ES
Alto Lindoso;;41.883333;-8.15;ES
Plan Eau Espagne Sans Nom 001;;38.533333;-0.266667;ES
Amposta;;40.716667;0.6;ES
Andevalo;;37.616667;-7.383333;ES
Aracena;;37.916667;-6.45;ES
Arcos;;36.766667;-5.783333;ES
Arenal Den Castell;;40.033333;4.183333;ES
Arenoso;;38.033333;-4.433333;ES
Arenos;;40.1;-0.566667;ES
Argos;;38.166667;-1.75;ES
Arlanzon;;42.25;-3.333333;ES
Arquillo De San Blas;;40.366667;-1.233333;ES
Arrocampo;;39.816667;-5.7;ES
Ayuela;;39.216667;-6.283333;ES
Azutan Norte;;39.85;-4.95;ES
Azutan Sur;;39.8;-4.983333;ES
Anarbe;;43.216667;-1.883333;ES
Bahia Codols;;38.866667;1.333333;ES
Bahia Del Julan;;27.683333;-18.05;ES
Bahia De Alcudia;;39.8;3.166667;ES
Bahia De Algeciras;;36.166667;-5.416667;ES
Bahia De Alicante;;38.35;-0.466667;ES
Bahia De Almeria;;36.833333;-2.366667;ES
Bahia De Arinaga;;27.833333;-15.416667;ES
Bahia De Cadiz Norte;;36.55;-6.25;ES
Bahia De Cadiz Sur;;36.5;-6.233333;ES
Bahia De Gando;;27.933333;-15.366667;ES
Bahia De Ortigueira;;43.733333;-7.833333;ES
Bahia De Pollensa;;39.883333;3.1;ES
Bahia De Santander;;43.45;-3.783333;ES
Bahia De Santa Eulalia;;38.983333;1.55;ES
Bahia De Santa Águeda;;27.75;-15.666667;ES
Barasona;;42.15;0.333333;ES
Barbate;;36.383333;-5.716667;ES
Barrios De Luna;;42.866667;-5.866667;ES
Baserca;;42.583333;0.766667;ES
Banos;;40.283333;-5.9;ES
Beas;;37.466667;-6.766667;ES
Belesar;;42.666667;-7.733333;ES
Belena;;40.95;-3.2;ES
Bellus;;38.933333;-0.466667;ES
Belsue;;42.3;-0.35;ES
Bembezar;;37.916667;-5.233333;ES
Bemposta;;41.3;-6.45;ES
Benageber;;39.733333;-1.1;ES
Beniarres;;38.8;-0.366667;ES
Benidorm;;38.533333;-0.133333;ES
Beninar;;36.883333;-3.016667;ES
Blanes;;41.666667;2.8;ES
Boadella;;42.35;2.833333;ES
Boiro;;42.616667;-8.916667;ES
Bolarque;;40.366667;-2.816667;ES
Boqueron;;39.15;-6.416667;ES
Borbollon;;40.133333;-6.566667;ES
Bornos;;36.816667;-5.716667;ES
Brenes;;37.566667;-5.883333;ES
Brovales;;38.35;-6.7;ES
Buenas Hierbas;;38.35;-4.416667;ES
Buendia;;40.4;-2.766667;ES
Burguillos Del Cerro;;38.4;-6.6;ES
Buseo;;39.6;-0.933333;ES
Barcena;;42.6;-6.55;ES
Beznar;;36.916667;-3.55;ES
Bubal;;42.7;-0.316667;ES
Burdalo;;39.2;-5.966667;ES
Cabo Caballeria;;40.066667;4.066667;ES
Cabo Cope;;37.433333;-1.516667;ES
Cabo Favaritx;;39.983333;4.266667;ES
Cabo Tinoso;;37.55;-1.116667;ES
Cadaques;;42.283333;3.283333;ES
Cala;;37.716667;-6.1;ES
Calanda;;40.916667;-0.216667;ES
Cala Agulla;;39.733333;3.466667;ES
Cala Algaiarens;;40.05;3.916667;ES
